"","UsageClass","CheckoutType","MaterialType","CheckoutYear","CheckoutMonth","Checkouts","Title","ISBN","Creator","Subjects","Publisher","PublicationYear"
"1012","Physical","Horizon","BOOK",2018,11,12,"Percy Jackson's Greek gods / Rick Riordan ; illustrated by John Rocco.","","Riordan, Rick","Gods Greek Juvenile fiction, Jackson Percy Fictitious character Juvenile fiction, Gods Greek Juvenile literature","Disney-Hyperion Books,","2014"
"1013","Physical","Horizon","BOOK",2018,11,25,"The lightning thief / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Fantasy, Mythological fiction","Hyperion Books for Children,","2005"
"1014","Digital","OverDrive","AUDIOBOOK",2018,11,11,"The Titan's Curse: Percy Jackson and the Olympians Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2007"
"1015","Digital","OverDrive","AUDIOBOOK",2018,11,10,"The Battle of the Labyrinth: Percy Jackson and the Olympians Series, Book 4 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2008"
"1016","Digital","OverDrive","EBOOK",2018,11,11,"The Red Pyramid: The Kane Chronicles, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"1017","Physical","Horizon","BOOK",2018,11,17,"The throne of fire / Rick Riordan.","","Riordan, Rick","Mythology Egyptian Juvenile fiction, Brothers and sisters Juvenile fiction, Voyages and travels Juvenile fiction, Adventure stories, Magic Juvenile fiction, Fantasy fiction, Mythological fiction","Disney/Hyperion,","2011"
"1018","Digital","OverDrive","AUDIOBOOK",2018,11,21,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2006"
"1019","Physical","Horizon","BOOK",2018,11,10,"The House of Hades / Rick Riordan.","","Riordan, Rick","Monsters Juvenile fiction, Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Prophecies Juvenile fiction, Fantasy fiction, Mythological fiction","Disney/Hyperion Books,","2013"
"1020","Digital","OverDrive","AUDIOBOOK",2018,11,11,"The Lost Hero: The Heroes of Olympus Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2010"
"1021","Physical","Horizon","BOOK",2018,11,19,"The last Olympian / Rick Riordan.","","Riordan, Rick","Titans Mythology Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Mythology Greek Juvenile fiction, Mythological fiction","Disney/Hyperion Books,","2009"
"1022","Physical","Horizon","BOOK",2018,11,16,"Percy Jackson & the Olympians. Book four, The battle of the Labyrinth : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Orpheus Collar and Antoine Dodé ; lettering by Chris Dickey.","","Riordan, Rick","Riordan Rick Battle of the Labyrinth Adaptations, Mythology Greek Comic books strips etc, Labyrinths Comic books strips etc, Camps Comic books strips etc, Monsters Comic books strips etc, Animals Mythical Comic books strips etc, Titans Mythology Comic books strips etc, Comics adaptations, Graphic novels","Disney-Hyperion,","2018"
"1023","Digital","OverDrive","AUDIOBOOK",2018,11,15,"The Burning Maze: The Trials of Apollo Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2018"
"1024","Digital","OverDrive","AUDIOBOOK",2018,11,19,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Mythology, Young Adult Fiction, Young Adult Literature","Books on Tape","2015"
"1025","Digital","OverDrive","AUDIOBOOK",2018,11,20,"The Hidden Oracle: Trials of Apollo Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2016"
"1026","Physical","Horizon","BOOK",2018,11,12,"The sword of summer / Rick Riordan.","","Riordan, Rick","Chase Magnus Juvenile fiction, Mythology Norse Juvenile fiction, Homeless children Juvenile fiction, Quests Expeditions Juvenile fiction, Mythological fiction","Disney Hyperion,","2015"
"1027","Digital","OverDrive","EBOOK",2018,11,18,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Disney Digital Books","2011"
"1028","Digital","OverDrive","AUDIOBOOK",2018,11,10,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2007"
"1029","Digital","OverDrive","EBOOK",2018,11,10,"The Titan's Curse: Percy Jackson and the Olympians, Book 3","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2011"
"1030","Physical","Horizon","BOOK",2018,11,23,"The battle of the Labyrinth / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Labyrinths Juvenile fiction, Camps Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Titans Mythology Juvenile fiction, Mythological fiction","Hyperion Books for Children,","2008"
"1031","Physical","Horizon","BOOK",2018,11,26,"The Ship of the Dead / Rick Riordan.","","Riordan, Rick","Loki Norse deity Juvenile fiction, Mythology Norse Juvenile fiction, Ships Juvenile fiction, Adventure and adventurers Fiction, Mythological fiction","Disney-Hyperion,","2017"
"1032","Physical","Horizon","BOOK",2018,11,11,"The serpent's shadow / Rick Riordan.","","Riordan, Rick","Snakes Juvenile fiction, Brothers and sisters Juvenile fiction, Magic Juvenile fiction, Mythology Egyptian Juvenile fiction, Adventure stories, Voyages and travels Juvenile fiction, Mythological fiction","Disney/Hyperion,","2012"
"1033","Physical","Horizon","BOOK",2018,11,15,"The red pyramid / Rick Riordan.","","Riordan, Rick","Brothers and sisters Fiction, Seth Egyptian deity Juvenile fiction, Voyages and travels Juvenile fiction, Family secrets Juvenile fiction, Secret societies Juvenile fiction, Egypt Juvenile fiction, Mythological fiction","Disney/Hyperion Books,","2010"
"1034","Digital","OverDrive","AUDIOBOOK",2018,11,20,"The Ship of the Dead: Magnus Chase and the Gods of Asgard Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2017"
"1035","Physical","Horizon","BOOK",2018,11,16,"The dark prophecy / Rick Riordan.","","Riordan, Rick","Apollo Deity Juvenile fiction, Gods Greek Juvenile fiction, Mythology Greek Juvenile fiction, Fantasy fiction, Fantasy fiction, Mythological fiction","Disney-Hyperion,","2017"
"1036","Digital","OverDrive","AUDIOBOOK",2018,11,15,"The House of Hades: The Heroes of Olympus Series, Book 4 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2013"
"1037","Physical","Horizon","BOOK",2018,11,14,"Percy Jackson & the Olympians. Book one, The lightning thief : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by José Villarrubia ; layouts by Orpheus Collar ; lettering by Chris Dickey.","","Riordan, Rick","Hades Greek deity Comic books strips etc, Mythology Greek Comic books strips etc, Camps Comic books strips etc, Friendship Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Zeus Greek deity Comic books strips etc, Cartoons and comics, Graphic novels, Fantasy comics","Disney/Hyperion Books,","2010"
"1038","Physical","Horizon","BOOK",2018,11,22,"9 from the Nine Worlds : stories / by Rick Riordan.","","Riordan, Rick","Mythology Norse Juvenile fiction, Short stories, Mythological fiction","Disney-Hyperion,","2018"
"1039","Digital","OverDrive","EBOOK",2018,11,11,"The Hammer of Thor: Magnus Chase and the Gods of Asgard Series, Book 2","","Rick Riordan","Juvenile Fiction, Mythology","Disney Digital Books","2017"
"1040","Digital","OverDrive","EBOOK",2018,11,13,"The Lost Hero: The Heroes of Olympus Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"1041","Digital","OverDrive","EBOOK",2018,12,11,"The Dark Prophecy: Trials of Apollo Series, Book 2","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2017"
"1042","Digital","OverDrive","EBOOK",2018,12,21,"The Ship of the Dead: Magnus Chase and the Gods of Asgard Series, Book 3","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2017"
"1043","Digital","OverDrive","AUDIOBOOK",2018,12,20,"The Ship of the Dead: Magnus Chase and the Gods of Asgard Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2017"
"1044","Physical","Horizon","BOOK",2018,12,19,"Percy Jackson & the Olympians. Book two, The sea of monsters : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; lettering by Chris Dickey.","","Riordan, Rick","Riordan Rick Sea of monsters Adaptations, Jackson Percy Fictitious character Comic books strips etc, Mythology Greek Comic books strips etc, Monsters Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Graphic novels","Disney-Hyperion Books,","2013"
"1045","Digital","OverDrive","EBOOK",2018,12,20,"The Burning Maze: The Trials of Apollo Series, Book 3","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2018"
"1046","Physical","Horizon","BOOK",2018,12,14,"The lost hero / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Camps Juvenile fiction, Hera Greek deity Juvenile fiction, Gaia Greek deity Juvenile fiction, Monsters Juvenile fiction, Mythological fiction","Disney/Hyperion Books,","2010"
"1047","Physical","Horizon","BOOK",2018,12,20,"Percy Jackson & the Olympians. Book four, The battle of the Labyrinth : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Orpheus Collar and Antoine Dodé ; lettering by Chris Dickey.","","Riordan, Rick","Riordan Rick Battle of the Labyrinth Adaptations, Mythology Greek Comic books strips etc, Labyrinths Comic books strips etc, Camps Comic books strips etc, Monsters Comic books strips etc, Animals Mythical Comic books strips etc, Titans Mythology Comic books strips etc, Comics adaptations, Graphic novels","Disney-Hyperion,","2018"
"1048","Physical","Horizon","BOOK",2018,12,16,"The sword of summer / Rick Riordan.","","Riordan, Rick","Chase Magnus Juvenile fiction, Mythology Norse Juvenile fiction, Homeless children Juvenile fiction, Quests Expeditions Juvenile fiction, Mythological fiction","Disney Hyperion,","2015"
"1049","Physical","Horizon","BOOK",2018,12,19,"Percy Jackson & the Olympians. Book three, The Titan's curse : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by Gregory Guilhaumond ; lettering by Chris Dickey.","","Riordan, Rick","Mythology Greek Comic books strips etc, Artemis Greek deity Comic books strips etc, Animals Mythical Comic books strips etc, Monsters Comic books strips etc, Titans Mythology Comic books strips etc, Mythology Greek Juvenile fiction, Artemis Greek deity Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Titans Mythology Juvenile fiction, Cartoons and comics, Graphic novels","Disney/Hyperion Books,","2013"
"1050","Digital","OverDrive","AUDIOBOOK",2018,12,19,"The Hidden Oracle: Trials of Apollo Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2016"
"1051","Physical","Horizon","BOOK",2018,12,22,"The Ship of the Dead / Rick Riordan.","","Riordan, Rick","Loki Norse deity Juvenile fiction, Mythology Norse Juvenile fiction, Ships Juvenile fiction, Adventure and adventurers Fiction, Mythological fiction","Disney-Hyperion,","2017"
"1052","Physical","Horizon","BOOK",2018,12,24,"The Titan's curse / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Artemis Greek deity Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Titans Mythology Juvenile fiction, Mythological fiction","Miramax Books / Hyperion Books for Children,","2007"
"1053","Physical","Horizon","BOOK",2018,12,25,"Percy Jackson & the Olympians. Book one, The lightning thief : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by José Villarrubia ; layouts by Orpheus Collar ; lettering by Chris Dickey.","","Riordan, Rick","Hades Greek deity Comic books strips etc, Mythology Greek Comic books strips etc, Camps Comic books strips etc, Friendship Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Zeus Greek deity Comic books strips etc, Cartoons and comics, Graphic novels, Fantasy comics","Disney/Hyperion Books,","2010"
"1054","Physical","Horizon","BOOK",2018,12,28,"The sea of monsters / Rick Riordan.","","Riordan, Rick","Hades Greek deity Juvenile fiction, Mythology Greek Juvenile fiction, Camps Juvenile fiction, Friendship Juvenile fiction, Fathers and sons Juvenile fiction, Poseidon Greek deity Juvenile fiction, Zeus Greek deity Juvenile fiction, Fantasy fiction, Mythological fiction","Miramax Books/Hyperion Books for Children,","2006"
"1055","Digital","OverDrive","AUDIOBOOK",2018,12,19,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2006"
"1056","Digital","OverDrive","EBOOK",2018,12,16,"The Lost Hero: The Heroes of Olympus Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"1057","Physical","Horizon","BOOK",2018,12,14,"Demigods & Magicians / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Mythology Egyptian Juvenile fiction, Magic Juvenile fiction, Monsters Juvenile fiction, Short stories, Mythological fiction","Disney/Hyperion,","2016"
"1058","Digital","OverDrive","AUDIOBOOK",2018,12,18,"The Dark Prophecy: Trials of Apollo Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2017"
"1059","Physical","Horizon","BOOK",2018,12,24,"The battle of the Labyrinth / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Labyrinths Juvenile fiction, Camps Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Titans Mythology Juvenile fiction, Mythological fiction","Hyperion Books for Children,","2008"
"1060","Digital","OverDrive","EBOOK",2018,12,10,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Disney Digital Books","2011"
"1061","Digital","OverDrive","AUDIOBOOK",2018,12,16,"The Burning Maze: The Trials of Apollo Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2018"
"1062","Physical","Horizon","BOOK",2018,12,14,"Percy Jackson's Greek gods / Rick Riordan ; illustrated by John Rocco.","","Riordan, Rick","Gods Greek Juvenile fiction, Jackson Percy Fictitious character Juvenile fiction, Gods Greek Juvenile literature","Disney-Hyperion Books,","2014"
"1063","Physical","Horizon","BOOK",2018,12,10,"The son of Neptune / Rick Riordan.","","Riordan, Rick","Gaia Greek deity Juvenile fiction, Hera Greek deity Juvenile fiction, Neptune Roman deity Juvenile fiction, Camps Juvenile fiction, Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Quests Expeditions Juvenile fiction, Fantasy fiction, Mythological fiction","Disney/Hyperion Books,","2011"
"1064","Physical","Horizon","BOOK",2018,12,16,"The hidden oracle / Rick Riordan.","","Riordan, Rick","Apollo Deity Fiction, Gods Greek Fiction, Mythology Greek Fiction, Mythological fiction","Disney-Hyperion,","2016"
"1065","Physical","Horizon","BOOK",2018,12,20,"The dark prophecy / Rick Riordan.","","Riordan, Rick","Apollo Deity Juvenile fiction, Gods Greek Juvenile fiction, Mythology Greek Juvenile fiction, Fantasy fiction, Fantasy fiction, Mythological fiction","Disney-Hyperion,","2017"
"1066","Digital","OverDrive","EBOOK",2018,12,16,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"1067","Physical","Horizon","BOOK",2018,12,10,"The blood of Olympus / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Gaia Greek deity Juvenile fiction, Fantasy fiction, Mythological fiction","Disney-Hyperion,","2014"
"1068","Physical","Horizon","BOOK",2018,12,24,"The burning maze / Rick Riordan.","","Riordan, Rick","Apollo Deity Juvenile fiction, Gods Greek Juvenile fiction, Mythology Greek Juvenile fiction, Oracles Juvenile fiction","Disney-Hyperion,","2018"
"1069","Physical","Horizon","BOOK",2018,12,27,"The last Olympian / Rick Riordan.","","Riordan, Rick","Titans Mythology Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Mythology Greek Juvenile fiction, Mythological fiction","Disney/Hyperion Books,","2009"
"1070","Physical","Horizon","BOOK",2018,12,17,"The throne of fire / Rick Riordan.","","Riordan, Rick","Mythology Egyptian Juvenile fiction, Brothers and sisters Juvenile fiction, Voyages and travels Juvenile fiction, Adventure stories, Magic Juvenile fiction, Fantasy fiction, Mythological fiction","Disney/Hyperion,","2011"
"1071","Digital","OverDrive","AUDIOBOOK",2018,12,20,"The Blood of Olympus: The Heroes of Olympus Series, Book 5 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2014"
"1072","Digital","OverDrive","EBOOK",2018,12,13,"The Red Pyramid: The Kane Chronicles, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"1073","Physical","Horizon","BOOK",2018,12,13,"The lightning thief / Rick Riordan ; illustrated by John Rocco.","","Riordan, Rick","Jackson Percy Fictitious character Juvenile fiction, Zeus Greek deity Juvenile fiction, Poseidon Greek deity Juvenile fiction, Mythology Greek Juvenile fiction, Camps Juvenile fiction, Fathers and sons Juvenile fiction, Fantasy fiction","Disney/Hyperion,","2018"
"1074","Physical","Horizon","BOOK",2018,12,12,"The red pyramid / Rick Riordan.","","Riordan, Rick","Brothers and sisters Fiction, Seth Egyptian deity Juvenile fiction, Voyages and travels Juvenile fiction, Family secrets Juvenile fiction, Secret societies Juvenile fiction, Egypt Juvenile fiction, Mythological fiction","Disney/Hyperion Books,","2010"
"1075","Digital","OverDrive","EBOOK",2018,12,13,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5","","Rick Riordan","Juvenile Fiction, Mythology","Disney Digital Books","2011"
"1076","Physical","Horizon","BOOK",2018,12,15,"The serpent's shadow / Rick Riordan.","","Riordan, Rick","Snakes Juvenile fiction, Brothers and sisters Juvenile fiction, Magic Juvenile fiction, Mythology Egyptian Juvenile fiction, Adventure stories, Voyages and travels Juvenile fiction, Mythological fiction","Disney/Hyperion,","2012"
"1077","Physical","Horizon","BOOK",2018,12,10,"Camp Half-Blood confidential : your real guide to the demigod training camp / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Camps Juvenile fiction, Mythological fiction","Disney-Hyperion,","2017"
"1078","Digital","OverDrive","EBOOK",2018,12,12,"The Hammer of Thor: Magnus Chase and the Gods of Asgard Series, Book 2","","Rick Riordan","Juvenile Fiction, Mythology","Disney Digital Books","2017"
"1079","Digital","OverDrive","AUDIOBOOK",2018,12,11,"From the Kane Chronicles: Brooklyn House Magician's Manual (An Official Rick Riordan Companion Book): Your Guide to Egyptian Gods & Creatures, Glyphs & Spells, & More (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2018"
"1080","Digital","OverDrive","AUDIOBOOK",2018,12,16,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Mythology, Young Adult Fiction, Young Adult Literature","Books on Tape","2015"
"1081","Physical","Horizon","BOOK",2018,12,27,"The lightning thief / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Fantasy, Mythological fiction","Hyperion Books for Children,","2005"
"1082","Digital","OverDrive","AUDIOBOOK",2018,12,13,"The House of Hades: The Heroes of Olympus Series, Book 4 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2013"
"1083","Physical","Horizon","BOOK",2018,12,15,"The demigod files / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Fantasy, Mythological fiction","Hyperion Books for Children,","2009"
"1084","Physical","Horizon","BOOK",2018,12,11,"Percy Jackson's Greek heroes / Rick Riordan ; illustrated by Jon Rocco.","","Riordan, Rick","Mythology Greek Juvenile fiction, Gods Greek Juvenile fiction","Disney-Hyperion,","2015"
"1085","Physical","Horizon","BOOK",2018,12,27,"9 from the Nine Worlds : stories / by Rick Riordan.","","Riordan, Rick","Mythology Norse Juvenile fiction, Short stories, Mythological fiction","Disney-Hyperion,","2018"
"1086","Digital","OverDrive","AUDIOBOOK",2018,12,14,"The Hammer of Thor: Magnus Chase and the Gods of Asgard Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2016"
"1087","Digital","OverDrive","AUDIOBOOK",2018,12,15,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2007"
"1088","Digital","OverDrive","AUDIOBOOK",2019,1,10,"9 From the Nine Worlds (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Short Stories","Books on Tape","2018"
"1089","Physical","Horizon","BOOK",2019,1,19,"Percy Jackson & the Olympians. Book four, The battle of the Labyrinth : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Orpheus Collar and Antoine Dodé ; lettering by Chris Dickey.","","Riordan, Rick","Riordan Rick Battle of the Labyrinth Adaptations, Mythology Greek Comic books strips etc, Labyrinths Comic books strips etc, Camps Comic books strips etc, Monsters Comic books strips etc, Animals Mythical Comic books strips etc, Titans Mythology Comic books strips etc, Comics adaptations, Graphic novels","Disney-Hyperion,","2018"
"1090","Digital","OverDrive","AUDIOBOOK",2019,1,26,"The Hammer of Thor: Magnus Chase and the Gods of Asgard Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2016"
"1091","Digital","OverDrive","EBOOK",2019,1,25,"The Burning Maze: The Trials of Apollo Series, Book 3","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2018"
"1092","Digital","OverDrive","AUDIOBOOK",2019,1,13,"The Son of Neptune: The Heroes of Olympus Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2011"
"1093","Physical","Horizon","BOOK",2019,1,14,"The lightning thief / Rick Riordan ; illustrated by John Rocco.","","Riordan, Rick","Jackson Percy Fictitious character Juvenile fiction, Zeus Greek deity Juvenile fiction, Poseidon Greek deity Juvenile fiction, Mythology Greek Juvenile fiction, Camps Juvenile fiction, Fathers and sons Juvenile fiction, Fantasy fiction","Disney/Hyperion,","2018"
"1094","Physical","Horizon","BOOK",2019,1,23,"The throne of fire / Rick Riordan.","","Riordan, Rick","Mythology Egyptian Juvenile fiction, Brothers and sisters Juvenile fiction, Voyages and travels Juvenile fiction, Adventure stories, Magic Juvenile fiction, Fantasy fiction, Mythological fiction","Disney/Hyperion,","2011"
"1095","Physical","Horizon","BOOK",2019,1,15,"The serpent's shadow / Rick Riordan.","","Riordan, Rick","Snakes Juvenile fiction, Brothers and sisters Juvenile fiction, Magic Juvenile fiction, Mythology Egyptian Juvenile fiction, Adventure stories, Voyages and travels Juvenile fiction, Mythological fiction","Disney/Hyperion,","2012"
"1096","Digital","OverDrive","AUDIOBOOK",2019,1,10,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2009"
"1097","Digital","OverDrive","EBOOK",2019,1,17,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"1098","Digital","OverDrive","EBOOK",2019,1,10,"The Battle of the Labyrinth: Percy Jackson and the Olympians Series, Book 4","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2011"
"1099","Physical","Horizon","BOOK",2019,1,11,"The demigod files / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Fantasy, Mythological fiction","Hyperion Books for Children,","2009"
"1100","Digital","OverDrive","AUDIOBOOK",2019,1,22,"The Blood of Olympus: The Heroes of Olympus Series, Book 5 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2014"
"1101","Physical","Horizon","BOOK",2019,1,21,"The dark prophecy / Rick Riordan.","","Riordan, Rick","Apollo Deity Juvenile fiction, Gods Greek Juvenile fiction, Mythology Greek Juvenile fiction, Fantasy fiction, Fantasy fiction, Mythological fiction","Disney-Hyperion,","2017"
"1102","Physical","Horizon","BOOK",2019,1,10,"Percy Jackson's Greek heroes / Rick Riordan ; illustrated by Jon Rocco.","","Riordan, Rick","Mythology Greek Juvenile fiction, Gods Greek Juvenile fiction","Disney-Hyperion,","2015"
"1103","Digital","OverDrive","AUDIOBOOK",2019,1,21,"The Ship of the Dead: Magnus Chase and the Gods of Asgard Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2017"
"1104","Physical","Horizon","BOOK",2019,1,24,"Percy Jackson & the Olympians. Book two, The sea of monsters : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; lettering by Chris Dickey.","","Riordan, Rick","Riordan Rick Sea of monsters Adaptations, Jackson Percy Fictitious character Comic books strips etc, Mythology Greek Comic books strips etc, Monsters Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Graphic novels","Disney-Hyperion Books,","2013"
"1105","Physical","Horizon","BOOK",2019,1,18,"The Ship of the Dead / Rick Riordan.","","Riordan, Rick","Loki Norse deity Juvenile fiction, Mythology Norse Juvenile fiction, Ships Juvenile fiction, Adventure and adventurers Fiction, Mythological fiction","Disney-Hyperion,","2017"
"1106","Digital","OverDrive","AUDIOBOOK",2019,1,19,"The Hidden Oracle: Trials of Apollo Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2016"
"1107","Physical","Horizon","BOOK",2019,1,25,"The Titan's curse / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Artemis Greek deity Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Titans Mythology Juvenile fiction, Mythological fiction","Miramax Books / Hyperion Books for Children,","2007"
"1108","Physical","Horizon","BOOK",2019,1,24,"The battle of the Labyrinth / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Labyrinths Juvenile fiction, Camps Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Titans Mythology Juvenile fiction, Mythological fiction","Hyperion Books for Children,","2008"
"1109","Physical","Horizon","BOOK",2019,1,18,"The mark of Athena / Rick Riordan.","","Riordan, Rick","Mythology Roman Juvenile fiction, Mythology Greek Juvenile fiction, Giants Juvenile fiction, Camps Juvenile fiction, Hera Greek deity Juvenile fiction, Gaia Greek deity Juvenile fiction, Mythological fiction","Disney-Hyperion Books,","2012"
"1110","Digital","OverDrive","AUDIOBOOK",2019,1,28,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2006"
